id_acidente_tip;dia;mes;qt_acidentes
1;1;1;24
2;1;1;13
2;1;1;24
2;1;1;13
2;1;1;24
3;1;1;13
3;1;1;24
3;1;1;13
3;1;1;13
3;1;1;24
4;1;1;24
4;1;1;13
4;1;1;13
4;1;2;13
4;1;1;13
5;1;1;13
5;1;1;30
5;1;2;24
5;1;1;11
5;1;2;13
5;1;1;18
6;1;2;13
6;1;1;13
6;1;1;24
6;1;1;13
6;1;1;25
6;1;2;11
6;1;1;24
6;1;1;13
6;1;1;11
6;1;1;29
6;1;2;13
6;1;1;25
6;1;1;18
7;1;2;13
7;1;1;51
7;1;1;29
7;1;1;13
7;1;1;24
8;1;1;13
8;1;1;24
8;1;1;13
8;1;2;13
8;1;1;24
8;1;1;13
9;1;1;35
9;1;1;29
9;1;1;13
9;1;1;25
9;1;1;18
10;1;1;18
10;1;1;13
10;1;1;25
10;1;1;29
11;1;1;24
11;1;1;29
11;1;1;13
11;1;2;24
11;1;1;24
11;1;1;13
11;1;1;13
11;1;1;11
11;1;1;18
11;1;1;18
12;1;1;13
12;1;1;13
13;1;1;24
13;1;1;24
13;1;1;24
13;1;1;21
13;1;1;29
13;1;1;29
13;1;1;24
13;1;1;29
14;1;1;18
14;1;1;24
14;1;1;25
14;1;1;24
14;1;2;13
14;1;1;11
14;1;1;29
14;1;1;29
15;1;1;80
15;1;2;13
15;1;1;29
15;1;1;13
15;1;1;24
15;1;1;13
15;1;1;24
15;1;1;25
16;1;1;13
16;1;2;13
17;1;2;13
17;1;3;6
17;1;1;29
18;1;1;24
18;1;1;18
20;1;1;80
20;1;2;24
20;1;1;29
20;1;1;29
20;1;1;80
20;1;1;13
20;1;1;29
20;1;1;13
20;1;1;25
21;1;1;13
21;1;1;13
21;1;1;18
21;1;1;13
21;1;1;24
21;1;1;24
21;1;1;29
21;1;1;33
21;1;3;13
21;1;1;13
21;1;1;13
21;1;1;18
22;1;1;13
22;1;2;13
22;1;1;13
22;1;1;13
22;1;1;13
23;1;1;80
23;1;2;24
23;1;1;13
23;1;1;24
23;1;2;18
23;1;1;13
23;1;1;29
24;1;1;29
24;1;1;13
24;1;1;80
24;1;1;11
24;1;1;13
24;1;1;13
25;1;1;24
25;1;1;29
25;1;1;18
26;1;2;11
26;1;1;24
26;1;1;24
26;1;1;24
26;1;1;46
26;1;1;13
26;1;1;33
26;1;1;13
27;1;1;24
27;1;1;29
27;1;1;29
27;1;1;18
27;1;1;18
27;1;1;29
27;1;1;29
28;1;2;13
28;1;1;21
28;1;2;11
28;1;1;13
28;1;1;19
28;1;1;11
28;1;1;24
29;1;1;13
29;1;1;13
29;1;1;24
29;1;1;24
30;1;1;24
30;1;1;24
30;1;1;6
31;1;1;11
31;1;1;24
31;1;1;29
31;1;1;13
31;1;1;18
31;1;1;13
1;2;1;13
1;2;1;13
1;2;1;13
1;2;1;13
1;2;1;80
1;2;1;25
1;2;1;18
1;2;1;18
2;2;1;13
2;2;1;13
2;2;2;13
3;2;1;25
3;2;1;28
3;2;1;29
3;2;1;18
4;2;1;25
5;2;1;13
5;2;1;44
5;2;1;6
5;2;1;24
6;2;1;29
